k,q,alpha,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
3,2,10-40-50,1.2738928176373616,1.0,1.0,1.0,1.0,0.6934374648070135
3,2,10-10-80,1.5477999696159148,1.2427000994371513,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.798208905970495,0.7618037324869043
3,2,10-40-50,1.3839267338278716,1.0,1.0,1.0,1.0,0.6994832582993431
3,2,10-10-80,1.5648289049471704,1.3171900506675176,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7778934161742328,0.7582259662529556
3,2,10-40-50,1.504008859971308,1.0,1.0,1.0,1.0,0.6886438026035302
3,2,10-10-80,1.5865657449173995,1.3591133137378015,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7571996533993359,0.7511962060837132
3,2,10-40-50,1.500712207741893,1.0,1.0,1.0,1.0,0.6650010564634876
3,2,10-10-80,1.6034523576014352,1.3924947183297693,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.9820563072168754,0.9046022217788641
3,2,10-40-50,1.0323973708506682,1.0,1.0,1.0,1.0,0.9309855931382518
3,2,10-10-80,1.0651702497437343,1.0240495400368756,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.9025532846099847,0.8191725787458224
3,2,10-40-50,1.0915350621942166,1.0,1.0,1.0,1.0,0.7885227241320937
3,2,10-10-80,1.339898014287093,1.0813437993489097,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7537987470303835,0.74645027310633
3,2,10-40-50,1.5277988443169068,1.0,1.0,1.0,1.0,0.6596284900381858
3,2,10-10-80,1.6249235407612554,1.4062049865850048,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7537904966900649,0.7464375154425654
3,2,10-40-50,1.5278627381528782,1.0,1.0,1.0,1.0,0.6596141405076438
3,2,10-10-80,1.62498188894472,1.4062402778720706,1.0,1.0,1.0,1.0
3,2,33-33-34,1.0,1.0,1.0,1.0,0.7551135289878977,0.7474803407149229
3,2,10-40-50,1.5209915063427912,1.0,1.0,1.0,1.0,0.6612607629907489
