eps_0,eps_1,eps_2,lambda_0,lambda_1
0.05,0.03,0.92,7.858578519157811,4.496493944610277
0.04,0.03,0.93,7.868854967983729,5.733295569650758
0.03,0.03,0.94,8.083333333333316,7.599290780141825
0.02,0.03,0.95,12.019444347577014,7.8270468804934055
0.01,0.03,0.96,24.5061994853274,7.837550514672092
0.95,0.04,0.01,24.50579174903711,5.757366145699718
0.94,0.04,0.02,12.014683843286932,5.751273603521556
0.93,0.04,0.03,7.868854967983724,5.733295569650693
0.92,0.04,0.04,5.999999999999999,5.521739130434785
0.91,0.04,0.05,5.804730214604901,4.469995060120382
0.9,0.04,0.06,5.7876004950425095,3.6568439494019414
0.89,0.04,0.07,5.781676200789991,3.0706512470430796
0.88,0.04,0.08,5.778685978269356,2.6304049308215527
0.87,0.04,0.09,5.776885672709467,2.2882484269073853
0.86,0.04,0.1,5.775684224367413,2.0150134500511987
0.85,0.04,0.11,5.774826299735352,1.7920186200507455
0.84,0.04,0.12,5.774183639878309,1.606768741074072
0.83,0.04,0.13,5.773684776169213,1.4505969661848175
0.82,0.04,0.14,5.773286738742189,1.3173055957525825
0.81,0.04,0.15,5.772962142629762,1.2023464993455493
0.8,0.04,0.16,5.772692711533676,1.1023072884663234
0.79,0.04,0.17,5.77246578285657,1.0145781486400791
0.78,0.04,0.18,5.772272307143275,0.937129402258436
0.77,0.04,0.19,5.772105646110123,0.8683591522494138
0.76,0.04,0.2,5.771960820586358,0.8069865478346969
0.75,0.04,0.21,5.7718340234496335,0.7519755003598911
0.74,0.04,0.22,5.7717222946756355,0.7024791795258407
0.73,0.04,0.23,5.771623298868434,0.6577989762953553
0.72,0.04,0.24,5.771535169455554,0.6173537194333374
0.71,0.04,0.25,5.771456397356731,0.5806562786996068
0.7,0.04,0.26,5.771385749994576,0.5472955686867422
0.69,0.04,0.27,5.771322211424673,0.5169225550809662
0.68,0.04,0.28,5.771264937433644,0.48923926424702824
0.67,0.04,0.29,5.771213221420153,0.46399007245529766
0.66,0.04,0.3,5.771166468160337,0.44095474396087564
0.65,0.04,0.31,5.771124173417558,0.4199428241010539
0.64,0.04,0.32,5.771085907938797,0.4007890920612045
0.63,0.04,0.33,5.771051304782179,0.3833498496189778
0.62,0.04,0.34,5.771020049201606,0.36749987489706815
0.61,0.04,0.35,5.770991870514474,0.35312990934501265
0.6,0.04,0.36,5.770966535522209,0.3401445755889041
0.59,0.04,0.37,5.770943843158059,0.32846064607694014
0.58,0.04,0.38,5.7709236201136545,0.31800559948707097
0.57,0.04,0.39,5.770905717253177,0.30871641500053215
0.56,0.04,0.4,5.770890006667111,0.3005385647614629
0.55,0.04,0.41,5.770876379250263,0.29342517285616765
0.54,0.04,0.42,5.7708647427139885,0.28733631548707095
0.53,0.04,0.43,5.77085501996186,0.2822384420828996
0.52,0.04,0.44,5.770847147773508,0.278103901177543
0.51,0.04,0.45,5.770841075753427,0.2749105582335023
0.5,0.04,0.46,5.770836765511311,0.2726414953582532
0.49,0.04,0.47,5.770834190048702,0.27128478520097943
0.48,0.04,0.48,5.770833333333331,0.2708333333333339
0.47,0.04,0.49,5.770834190048702,0.271284785200975
0.46,0.04,0.5,5.770836765511313,0.2726414953582532
0.45,0.04,0.51,5.770841075753426,0.2749105582335005
0.44,0.04,0.52,5.770847147773506,0.27810390117754213
0.43,0.04,0.53,5.770855019961857,0.2822384420829005
0.42,0.04,0.54,5.7708647427139885,0.28733631548707006
0.41,0.04,0.55,5.770876379250263,0.29342517285616765
0.4,0.04,0.56,5.77089000666711,0.30053856476146024
0.39,0.04,0.57,5.7709057172531795,0.30871641500053304
0.38,0.04,0.58,5.770923620113656,0.31800559948707274
0.37,0.04,0.59,5.770943843158061,0.3284606460769419
0.36,0.04,0.6,5.7709665355222075,0.3401445755889041
0.35,0.04,0.61,5.7709918705144725,0.3531299093450109
0.34,0.04,0.62,5.7710200492016055,0.36749987489706903
0.33,0.04,0.63,5.771051304782181,0.3833498496189769
0.32,0.04,0.64,5.771085907938795,0.40078909206120183
0.31,0.04,0.65,5.771124173417556,0.4199428241010503
0.3,0.04,0.66,5.7711664681603345,0.44095474396087475
0.29,0.04,0.67,5.771213221420154,0.46399007245529766
0.28,0.04,0.68,5.771264937433646,0.48923926424702735
0.27,0.04,0.69,5.77132221142467,0.5169225550809671
0.26,0.04,0.7,5.771385749994576,0.547295568686744
0.25,0.04,0.71,5.771456397356732,0.580656278699605
0.24,0.04,0.72,5.771535169455553,0.6173537194333409
0.23,0.04,0.73,5.771623298868433,0.6577989762953544
0.22,0.04,0.74,5.771722294675635,0.7024791795258372
0.21,0.04,0.75,5.771834023449635,0.7519755003598876
0.2,0.04,0.76,5.771960820586356,0.8069865478346969
0.19,0.04,0.77,5.77210564611012,0.868359152249413
0.18,0.04,0.78,5.772272307143275,0.9371294022584413
0.17,0.04,0.79,5.772465782856575,1.014578148640081
0.16,0.04,0.8,5.772692711533675,1.1023072884663296
0.15,0.04,0.81,5.772962142629765,1.2023464993455466
0.14,0.04,0.82,5.773286738742192,1.317305595752586
0.13,0.04,0.83,5.7736847761692145,1.4505969661848228
0.12,0.04,0.84,5.774183639878306,1.6067687410740747
0.11,0.04,0.85,5.774826299735355,1.7920186200507437
0.1,0.04,0.86,5.775684224367407,2.0150134500511934
0.09,0.04,0.87,5.776885672709471,2.2882484269073977
0.08,0.04,0.88,5.7786859782693485,2.6304049308215487
0.07,0.04,0.89,5.78167620078998,3.0706512470430547
0.06,0.04,0.9,5.7876004950425,3.656843949401915
0.05,0.04,0.91,5.804730214604907,4.469995060120416
0.04,0.04,0.92,6.000000000000047,5.521739130434791
0.03,0.04,0.93,7.868854967983787,5.73329556965069
0.02,0.04,0.94,12.014683843287177,5.751273603521556
0.01,0.04,0.95,24.505791749038142,5.75736614569972
0.94,0.05,0.01,24.505588003607233,4.510369443201229
0.93,0.05,0.02,12.013092430769463,4.505724773531609
0.92,0.05,0.03,7.858578519157811,4.496493944610295
0.91,0.05,0.04,5.804730214604897,4.469995060120375
0.9,0.05,0.05,4.750000000000001,4.277777777777778
0.89,0.05,0.06,4.575704846056917,3.6218606970142453
0.88,0.05,0.07,4.551367421440041,3.054152059079443
0.87,0.05,0.08,4.542601141029669,2.6197551808094097
0.86,0.05,0.09,4.5381255244045,2.2803499277918884
0.85,0.05,0.1,4.535417373977232,2.0087002730815913
0.84,0.05,0.11,4.53360521688366,1.7867411034626657
0.83,0.05,0.12,4.532309143232834,1.6022290093776084
0.82,0.05,0.13,4.531337314578366,1.4466176572790435
0.81,0.05,0.14,4.53058247414285,1.3137737868800787
0.8,0.05,0.15,4.52997998486847,1.1991866817981967
0.79,0.05,0.16,4.529488583716502,1.0994671124860291
0.78,0.05,0.17,4.529080697499548,1.0120203583073897
0.77,0.05,0.18,4.528737203702736,0.9348270098614773
0.76,0.05,0.19,4.528444425805044,0.8662924163002201
0.75,0.05,0.2,4.52819232530739,0.8051410080259433
0.74,0.05,0.21,4.527973369140113,0.7503406591739155
0.73,0.05,0.22,4.527781795423093,0.7010475943651988
0.72,0.05,0.23,4.527613123207261,0.6565656207540922
0.71,0.05,0.24,4.5274638165998065,0.6163155261231994
0.7,0.05,0.25,4.527331049400755,0.5798118077421024
0.69,0.05,0.26,4.527212536841422,0.546644765276751
0.68,0.05,0.27,4.527106413131345,0.5164665716181096
0.67,0.05,0.28,4.527011140908292,0.4889803303070597
0.66,0.05,0.29,4.526925443310336,0.4639314009947837
0.65,0.05,0.3,4.526848252352803,0.4411004655959134
0.64,0.05,0.31,4.526778669232961,0.42029794367026607
0.63,0.05,0.32,4.526715933480197,0.4013594633451998
0.62,0.05,0.33,4.526659398749031,0.3841421652783401
0.61,0.05,0.34,4.526608513659453,0.3685216695613791
0.6,0.05,0.35,4.5265628065145815,0.3543895744377972
0.59,0.05,0.36,4.526521873027953,0.3416513849758145
0.58,0.05,0.37,4.5264853664101325,0.33022479202416477
0.57,0.05,0.38,4.526452989323051,0.32003823874712456
0.56,0.05,0.39,4.526424487326961,0.311029725127252
0.55,0.05,0.4,4.526399643532102,0.30314581101335225
0.54,0.05,0.41,4.526378274232557,0.29634078629138116
0.53,0.05,0.42,4.526360225349776,0.2905759830958674
0.52,0.05,0.43,4.526345369551595,0.28581921005484645
0.51,0.05,0.44,4.526333603942676,0.28204429267051445
0.5,0.05,0.45,4.5263248482459195,0.2792307073096367
0.49,0.05,0.46,4.526319043413633,0.27736329908858526
0.48,0.05,0.47,4.526316150622893,0.2764320763274615
0.47,0.05,0.48,4.526316150622894,0.2764320763274615
0.46,0.05,0.49,4.526319043413634,0.27736329908858526
0.45,0.05,0.5,4.5263248482459195,0.27923070730963584
0.44,0.05,0.51,4.526333603942676,0.28204429267051356
0.43,0.05,0.52,4.526345369551594,0.28581921005484556
0.42,0.05,0.53,4.526360225349776,0.2905759830958674
0.41,0.05,0.54,4.526378274232557,0.29634078629138116
0.4,0.05,0.55,4.526399643532101,0.30314581101335225
0.39,0.05,0.56,4.526424487326961,0.31102972512725025
0.38,0.05,0.57,4.52645298932305,0.32003823874712545
0.37,0.05,0.58,4.526485366410133,0.33022479202416566
0.36,0.05,0.59,4.526521873027953,0.3416513849758127
0.35,0.05,0.6,4.526562806514583,0.3543895744377972
0.34,0.05,0.61,4.5266085136594505,0.3685216695613791
0.33,0.05,0.62,4.526659398749031,0.38414216527833744
0.32,0.05,0.63,4.526715933480195,0.4013594633452007
0.31,0.05,0.64,4.526778669232962,0.42029794367026785
0.3,0.05,0.65,4.526848252352805,0.4411004655959143
0.29,0.05,0.66,4.526925443310337,0.46393140099478636
0.28,0.05,0.67,4.527011140908292,0.488980330307057
0.27,0.05,0.68,4.527106413131345,0.5164665716181105
0.26,0.05,0.69,4.527212536841421,0.5466447652767537
0.25,0.05,0.7,4.527331049400755,0.5798118077421028
0.24,0.05,0.71,4.527463816599808,0.616315526123203
0.23,0.05,0.72,4.527613123207259,0.6565656207540886
0.22,0.05,0.73,4.527781795423093,0.7010475943651997
0.21,0.05,0.74,4.527973369140115,0.7503406591739199
0.2,0.05,0.75,4.52819232530739,0.8051410080259438
0.19,0.05,0.76,4.528444425805047,0.866292416300225
0.18,0.05,0.77,4.528737203702736,0.9348270098614755
0.17,0.05,0.78,4.529080697499548,1.0120203583073906
0.16,0.05,0.79,4.529488583716502,1.0994671124860371
0.15,0.05,0.8,4.529979984868469,1.1991866817981949
0.14,0.05,0.81,4.53058247414285,1.313773786880081
0.13,0.05,0.82,4.531337314578369,1.446617657279035
0.12,0.05,0.83,4.532309143232835,1.602229009377603
0.11,0.05,0.84,4.533605216883659,1.7867411034626723
0.1,0.05,0.85,4.5354173739772365,2.0087002730815904
0.09,0.05,0.86,4.538125524404502,2.280349927791906
0.08,0.05,0.87,4.542601141029669,2.6197551808093986
0.07,0.05,0.88,4.551367421440039,3.054152059079427
0.06,0.05,0.89,4.575704846056919,3.6218606970142626
0.05,0.05,0.9,4.750000000000032,4.277777777777783
0.04,0.05,0.91,5.8047302146048745,4.469995060120374
0.03,0.05,0.92,7.858578519157749,4.496493944610298
0.02,0.05,0.93,12.013092430769317,4.505724773531612
0.01,0.05,0.94,24.505588003608125,4.510369443201229
0.93,0.06,0.01,24.505465868470235,3.6800180024973446
